tsp_6_1.txt 100 132 0 1 2 3 4 5 0
631
516
498
498
511
475
487
453
460
453
454
453
454
453
453
454
454
458
454
455
453
455
454
454
455
456
459
435
435
434
434
435
435
435
438
434
435
435
435
434
435
434
435
443
435
434
435
436
436
435
437
435
439
443
417
414
417
418
422
402
402
401
404
403
386
387
388
388
385
388
387
386
390
390
373
373
374
373
382
360
359
360
360
362
360
360
359
359
358
360
359
360
360
360
362
360
360
370
347
348
tsp_6_2.txt 100 80 0 5 1 2 3 4 0
350
348
352
348
349
353
348
348
348
347
348
348
347
348
349
348
350
349
349
348
349
348
361
337
338
336
337
339
337
338
337
337
337
338
338
337
337
337
337
340
337
337
337
338
336
337
337
337
336
338
338
352
327
326
327
332
317
317
316
316
317
317
316
319
317
317
317
324
308
308
307
307
307
308
308
310
307
307
307
308
307
307
307
306
307
307
311
308
310
308
307
307
308
306
307
308
308
307
307
307
tsp_10.txt 10 212 0 3 4 2 8 7 6 9 1 5 0
962577
957641
957269
964468
989286
980189
963179
961114
958137
958644
tsp_12.txt 10 264 0 1 8 4 6 2 11 9 7 5 3 10 0
142703330
144366287
150783115
131272567
129479924
118588543
128278460
129604332
131362550
124704060
tsp_13.txt 2 269 0 10 3 5 7 9 11 2 6 4 8 1 12 0
1531393055
1544918977
tsp_6_13bf.csv
