m9.atsp Reps: 50 Nodes:  9
62700
58371
57722
57610
56531
57397
57464
56904
57014
57012
57638
58895
57592
56634
57439
56895
58520
59274
58484
58550
58918
57572
57433
57052
57292
57910
57058
56418
56401
56899
55690
58064
57443
57486
56241
57224
56878
57773
55868
56699
57927
57624
57887
58529
58099
56694
57499
56765
58688
61661
br17.atsp Reps: 50 Nodes:  17
124945
109499
106330
105990
103594
109795
108412
105711
105007
106879
107734
102827
104882
102598
102659
104465
103822
104043
107750
104252
105914
108407
102022
108556
111651
117252
108380
102559
106113
107290
106616
109134
105364
106032
106167
106680
104498
109182
104717
104070
103919
107493
103273
102954
106199
103902
109110
103969
104976
107288
ftv33.atsp Reps: 50 Nodes:  34
305368
312395
300820
331730
287913
332156
304607
290702
320510
331349
299597
287276
278052
305671
305769
318183
289128
308706
301030
325129
321763
263160
274136
260033
275323
292695
287830
276113
269230
304127
293428
302289
297831
275099
264673
295186
331099
266669
314016
263853
314853
273914
291936
289625
250305
317233
282320
337930
320142
311338
ftv38.atsp Reps: 50 Nodes:  39
407160
371322
416169
389725
406542
430758
329818
432873
346031
441642
431303
428434
424822
362256
369394
391062
412148
380596
423926
423575
443519
383452
365643
344414
386316
389374
335291
386605
370085
434725
374209
393708
415441
352654
426999
364182
408168
400841
366283
360157
429716
429129
390218
367277
351308
417517
369017
367726
370366
379366
p43.atsp Reps: 50 Nodes:  43
561851
582391
571663
566028
577583
575578
581149
580280
570631
568443
733304
755910
689132
682415
606824
612299
614475
676210
618638
619065
649574
699896
657124
623131
641104
605243
628849
631923
633064
619410
592829
584364
560935
585612
606658
619848
597630
560471
583781
612534
574140
600073
594238
583477
578008
583832
594010
555297
565366
617769
ft53.atsp Reps: 40 Nodes:  53
848695
651835
643375
771377
813826
816602
817052
880640
788099
777869
662759
849220
845323
701106
633839
777417
744219
850927
815097
764871
776854
795076
856124
837469
732007
809510
867681
746308
909518
816269
853912
870273
864625
841424
805858
776380
708714
801196
874677
942238
ftv64.atsp Reps: 40 Nodes:  65
1267187
966578
1039110
1076514
1301044
1086994
1187370
1124195
1111232
1168112
1001801
910139
1157567
1156424
1002482
1004026
1130015
1152989
1048880
958647
1182644
1104259
1208393
1107695
1127321
1072594
1069246
1115404
1251683
1166977
1147865
1193383
1029013
958901
1181192
1280289
1070408
1100249
1085188
1268713
ftv70.atsp Reps: 40 Nodes:  71
1376233
1295167
1293476
1172806
1390405
1336284
1302815
1334657
1164414
1306273
1457308
1234042
1179566
1137713
1198718
1338727
1236473
1352174
1215731
1272677
1214736
1232126
1302751
1348216
1227845
1111203
1365417
1245614
1071455
1129706
1363642
1246743
1301137
1261151
1246675
1425538
1300009
1318081
1319526
1489207
ftv170.atsp Reps: 10 Nodes:  171
12459245
11788773
11877238
10898150
11238293
10762204
10326872
9446054
9447761
10423547
rbg323.atsp Reps: 10 Nodes:  323
44771527
47808019
50164287
48868546
48716697
48538902
47327055
44289888
45713106
44534445
rbg358.atsp Reps: 10 Nodes:  358
60935445
57456944
58849877
59342654
62413675
61192364
62806678
65564387
66274184
57895645
rbg403.atsp Reps: 10 Nodes:  403
79310459
82978728
79278613
81758874
84941031
84456631
78003375
92853143
91185334
84321571
rbg443.atsp Reps: 10 Nodes:  443
110273089
112728345
110941498
102399983
115918239
99789250
107694929
110261846
103272803
110659551
cale_99_L_0.1_atsp.csv
