tsp_6_1.txt Reps: 10 Nodes:  6
13706
11286
7293
5672
4754
4707
6957
4517
4304
4409
tsp_6_2.txt Reps: 10 Nodes:  6
4165
4142
4376
6764
4179
4207
4264
4204
4406
4196
tsp_10.txt Reps: 10 Nodes:  10
10774
7800
7684
8337
9626
7745
7563
7637
7759
7785
tsp_12.txt Reps: 10 Nodes:  12
9353
9305
9456
9293
9343
9456
9296
9334
9585
9426
